,Time,Tot_Energy,Free_Energy,OH2,OH,O,All
0,0.0,-9687.5839,-9687.5839,0,0,24,24
0,10.0,-9648.5566,-9648.5566,0,0,24,24
0,20.0,-9655.6519,-9655.6519,0,1,23,24
0,30.0,-9655.0992,-9655.0992,0,0,24,24
0,40.0,-9653.42,-9653.42,0,0,24,24
0,50.0,-9653.5001,-9653.5001,0,0,24,24
0,60.0,-9653.0956,-9653.0956,0,1,23,24
0,70.0,-9659.8804,-9659.8804,0,0,24,24
0,80.0,-9654.2691,-9654.2691,0,0,24,24
0,90.0,-9656.536,-9656.536,0,0,24,24
0,100.0,-9654.8703,-9654.8703,0,0,24,24
0,110.0,-9653.4136,-9653.4136,0,0,24,24
0,120.0,-9655.1068,-9655.1068,0,0,24,24
0,130.0,-9656.5676,-9656.5676,0,0,24,24
0,140.0,-9651.1226,-9651.1226,0,0,24,24
0,150.0,-9652.447,-9652.447,0,0,24,24
0,160.0,-9657.4034,-9657.4034,0,0,24,24
0,170.0,-9650.3635,-9650.3635,0,1,23,24
0,180.0,-9655.3514,-9655.3514,0,0,24,24
0,190.0,-9652.6443,-9652.6443,0,0,24,24
0,200.0,-9651.3631,-9651.3631,0,1,23,24
0,210.0,-9652.1219,-9652.1219,0,0,24,24
0,220.0,-9655.0961,-9655.0961,0,0,24,24
0,230.0,-9652.5515,-9652.5515,0,0,24,24
0,240.0,-9653.6895,-9653.6895,0,0,24,24
0,250.0,-9655.6563,-9655.6563,0,1,23,24
